type,tid,fangstbeviser
Fritidsfanger,1993,5454
Fritidsfanger,1994,4165
Fritidsfanger,1995,4087
Fritidsfanger,1996,5928
Fritidsfanger,1997,6979
Fritidsfanger,1998,7641
Fritidsfanger,1999,8322
Fritidsfanger,2000,8194
Fritidsfanger,2001,9316
Fritidsfanger,2002,9686
Fritidsfanger,2003,7754
Fritidsfanger,2004,6845
Fritidsfanger,2005,6134
Fritidsfanger,2006,5685
Fritidsfanger,2007,5808
Fritidsfanger,2008,5110
Fritidsfanger,2009,5258
Fritidsfanger,2010,5548
Fritidsfanger,2011,4977
Fritidsfanger,2012,3548
Fritidsfanger,2013,3870
Fritidsfanger,2014,3815
Fritidsfanger,2015,3832
Fritidsfanger,2016,4245
Fritidsfanger,2017,4889
Fritidsfanger,2018,5094
Fritidsfanger,2019,4860
Fritidsfanger,2020,5256
Fritidsfanger,2021,5205
Fritidsfanger,2022,5121
Erhvervsfanger,1993,4068
Erhvervsfanger,1994,3149
Erhvervsfanger,1995,3290
Erhvervsfanger,1996,3988
Erhvervsfanger,1997,2617
Erhvervsfanger,1998,2574
Erhvervsfanger,1999,2706
Erhvervsfanger,2000,2586
Erhvervsfanger,2001,2674
Erhvervsfanger,2002,2869
Erhvervsfanger,2003,2714
Erhvervsfanger,2004,2526
Erhvervsfanger,2005,2410
Erhvervsfanger,2006,2482
Erhvervsfanger,2007,2373
Erhvervsfanger,2008,2125
Erhvervsfanger,2009,1711
Erhvervsfanger,2010,2082
Erhvervsfanger,2011,2058
Erhvervsfanger,2012,1757
Erhvervsfanger,2013,1997
Erhvervsfanger,2014,2064
Erhvervsfanger,2015,1983
Erhvervsfanger,2016,2046
Erhvervsfanger,2017,2114
Erhvervsfanger,2018,2109
Erhvervsfanger,2019,2133
Erhvervsfanger,2020,2137
Erhvervsfanger,2021,2097
Erhvervsfanger,2022,2023
